天王寺綯,科学ADVシリーズ
冴之木七星,コープスパーティー
スミア,ファイアーエムブレム覚醒
シンシア,ファイアーエムブレム覚醒
泣き虫ナースマコト,白猫プロジェクト
四季,閃乱カグラシリーズ
水無瀬シズナ,迷宮クロスブラッド リローデッド
満腹丸ちゃん,VALKYRIE DRIVE -BHIKKHUNI-
