ドラン,黄金勇者ゴルドラン
ジョニー・ブラボー,ジョニー・ブラボー
大人リボーン,家庭教師ヒットマンREBORN!
ジェレミア・ゴットバルト,コードギアス反逆のルルーシュ
ジェイル・スカリエッティ,魔法少女リリカルなのはStrikerS
バリリ准尉,ケロロ軍曹
砂山ノボル,ロックマンエグゼStream
フェルメート,BACCANO!
巳厘野道満,銀魂
潮江文次郎,忍たま乱太郎
殺生丸,犬夜叉
アレッシオ・ユリアーノ,うえきの法則
林興徐,ゴーストハント
研崎竜一,イナズマイレブン
スレイマン,ONEPIECE
ポリスウイン,超特急ヒカリアン
E3レーサー,超特急ヒカリアン
イルーゾォ,ジョジョの奇妙な冒険 黄金の風
Dr.スタイリッシュ,アカメが斬る!
