ドクター・ウェスト,機神咆吼デモンベイン
ジョルジュ・ド・サンド,機動武闘伝Gガンダム
ロアビィ・ロイ,機動新世紀ガンダムX
河上万斉,銀魂
セイウチン,キン肉マンⅡ世
新島春男,史上最強の弟子ケンイチ
とりっぴい,しまじろうシリーズ
君島邦彦,スクライド
ピオニー・ウパラ・マルクト9世,テイルズオブジアビス
ティルキス・バローネ,テイルズオブザテンペスト
ナノ,咎狗の血
小松田秀作,忍たま乱太郎
鉢屋三郎,忍たま乱太郎
レムレス,ぷよぷよシリーズ
ケイネス・エルメロイ・アーチボルト,Fate/Zero
イサム・ダイソン,マクロスプラス
フェリオ,魔法騎士レイアース
リボルバー・オセロット,メタルギアソリッド3
カンフー刑事パワージョー,勇者警察ジェイデッカー
井沢ひろみ,行け!稲中卓球部
ジラス,スレイヤーズTRY
ドクター高松,南国少年パプワくん
アーチボルド・グリムズ,スーパーロボット大戦OGシリーズ
熱血隼人,ジャスティス学園
デラ・モチマッヅィ,たまこまーけっと
ボロロ・ボアンヌ,Go!プリンセスプリキュア(画像左)
デモンブルー,ミクロマン
