どすこい姉妹,超力ロボガラット
南雲しのぶ,機動警察パトレイバー
鉄火のマキちゃん(初代),それいけ!アンパンマン
ネヘレニア,美少女戦士セーラームーン
インテグラル・ファルブルケ・ウィンゲーツ・ヘルシング,HELLSING
茅葺総理(茅葺よう子),攻殻機動隊 S.A.C.2nd GIG
西澤桜華,ケロロ軍曹
フレデリカ・グリーンヒル,銀河英雄伝説（OVA）
迦楼羅王,聖伝
シレーヌ,デビルマン(OVA)
シリア・スティングレイ,バブルガムクライシス
カーラ,ロードス島戦記
エル,うる星やつら(映画)
クシャナ,風の谷のナウシカ
エルレイン,テイルズオブデスティニー2
アーマロイド・レディ,スペースコブラ
浅谷光子,キャッツ・アイ
メディア,聖闘士星矢Ω
百合目一,悪魔のリドル
禾生壌宗,PSYCHO-PASS
ディスピア,Go!プリンセスプリキュア
八神裕子,デジモンアドベンチャー（劇場版1作目）
殺生丸の母,犬夜叉
ギガン,暁のヨナ※
ミラ,ファイアーエムブレムEchoes
