宗谷ましろ,ハイスクール・フリート
経堂麻耶,さばげぶっ!
山内桜良,君の膵臓をたべたい
ラファエル,七つの美徳
水澤葵,モンスターストライク
神無のぞみ,競女!!!!!!!!
秋月風夏,風夏
師匠,キノの旅(2017年版)※
蹉跎桜,双星の陰陽師
リーズシャルテ・アティスマータ,最弱無敗の神装機竜
ぐれっしー,ふなっしーのふなふなふな日和
ポイズン・アイビー,DCスーパーヒーローガールズ
夏木ひなた,となりの吸血鬼さん
桐須真冬,ぼくたちは勉強ができない
