上原歩子,あいうら
ミノリ,ログ・ホライズン
雨取千佳,ワールドトリガー
ネジル・ネジール,ヘボット!
三室美園,浦和の調ちゃん
ミュージモン,デジモンユニバースアプリモンスターズ
初恋の魔女,18if
愛崎えみる/キュアマシェリ,HUGっと!プリキュア
