三峰真白,未確認で進行形
チラ之助,パンチライン
黒柳ルリ子,ひなこのーと
大鳥モミジ,トライブクルクル
キノイくん,巻き巻き！キノイくん
アドリーヌ,ブレイブビーツ
めたぼん,ディバインゲート
天羽くるは,アイドル事変
白子,URAHARA
