丸尾栄一郎,ベイビーステップ
等々力孝,遊戯王ZEXAL
宮内啓介,ダイヤのA
ジーダム,ビーストサーガ
大谷吉継,戦国☆パラダイス極
カーム・クラフトマン,アルドノア・ゼロ
伊武崎峻,食戟のソーマ
ノルバ・シノ,機動戦士ガンダム鉄血のオルフェンズ
江文優,ALLOUT!!
沫悟,境界のRINNE
木葉秋紀,ハイキュー!!
高友乾,覇穹封神演義
坂本龍馬,モンスターストライク
マギー(GBD),ガンダムビルドダイバーズ
"",""
