蒼月潮,うしおととら(2015年TVアニメ版)
香賀美タイガ,KING OF PRISM by PrettyRhythm
生駒,甲鉄城のカバネリ
甲賀八郎,バジリスク〜桜花忍法帖〜
永倉豪,バッテリー
納村不道,武装少女マキャヴェリズム
上鳴電気,僕のヒーローアカデミア
九十九遊馬,遊戯王ZEXAL
笹森日佐人,ワールドトリガー
