レオナ・ガーシュタイン,スーパーロボット大戦シリーズ
神坂春姫,はぴねす!
プリーシア,PRISMARK
八雲はまじ,H2O
岸本あやせ,Chaos;HEAd
猫宮のの,よつのは
宮藤かぐら,ソルフェージュ
キリエ,ユグドラ・ユニオン
中ノ島妙,ぶらばん!
マリィ,Diesirae
二階堂彩,暁の護衛
日下部雨火,スマガ
哘雅楽乃,処女はお姉さまに恋してる 2人のエルダー
徳河吉音,あっぱれ!天下御免
神森櫻乃,ピアノの森の満開の下
羽住恋鳥,FairChild
お竜,風来のシレン＊1
響五葉,九龍妖魔學園紀
スー・プロヴァンス,ランスシリーズ
梨晏,恋姫†夢想
アクア・オケアノス,かんぱに☆ガールズ
