レム,DEATH NOTE
ボア・マリーゴールド,ONE PIECE※イラスト左（茶髪）の人物
カタリーナ・デボン,ONE PIECE
千絵子,海月姫
志波美輝,はたらく魔王さま!
ミルキ,HUNTER×HUNTER(2011年版)
ドブス ※メイン画像左の人物。※1,おそ松さん
トト子の母※メイン画像一番後ろの列の左から2番目の人物。※1,おそ松さん
越野あん※メイン画像左下の人物。,あたしンちシリーズ
つけもの,ボボボーボ・ボーボボ
艶,鬼灯の冷徹(画像左の蛇)
マーサ,遊☆戯☆王5D's※右側の女性
