三浦ハル,家庭教師ヒットマンREBORN!
ルチアーノ,遊戯王5D's
オハナ/キュアサンセット,ハピネスチャージプリキュア!
ムーコ,いとしのムーコ
チョロミー,ガラピコぷ～(おかあさんといっしょ)
太刀川ミミ,デジモンアドベンチャーtri.
