小森ユイ,DIABOLIKLOVERS(アニメのみ)
豊川風花,アイドルマスターミリオンライブ!
川澄シサラ,Tokyo7thシスターズ
雁淵孝美,ブレイブウィッチーズ
橘レイナ,ららマジ
土御門静,メルヘン・メドヘン
富江,伊藤潤二コレクション
フェリシア,百錬の覇王と聖約の戦乙女
