大庭詠美,こみっくパーティー
カケル,サルゲッチュ
虎金井天智,すもももももも
天尾翔,CARDLIVER翔
葛木カムイ,カードファイト!!ヴァンガード
コイシマル,メダロット5
トモル,おもいっきり科学アドベンチャー
