ボンバー来島,レッスルエンジェルスサバイバー
ディードリット※,ロードス島戦記
ブイモン,デジモンアドベンチャー02
紺野みつね,ラブひな
たしぎ,ONE PIECE
ハルタ,ONE PIECE
藤原ざくろ/ミュウザクロ,東京ミュウミュウ
レキ,灰羽連盟
アイスマン,ロックマンエグゼ
色綾まどい,ロックマンエグゼ
加藤祭,ガンパレード・マーチ（アニメ版）
ディーオ・エラクレア,LASTEXILE
ジャクリーン・マッスル,キン肉マンⅡ世
有沢たつき,BLEACH
カララ,ケロロ軍曹
金城奈々穂,極上生徒会
もっくん,少年陰陽師
原川玉子,電脳コイル
ミーラ=ナイグス,ソウルイーター
大形京,黒魔女さんが通る!!
本堂瑛祐,名探偵コナン
衛宮士郎（幼少期）,Fateシリーズ
ウケロー,ヒミツのここたま
ハリハム・ハリー（ハムスター態）,HUGっと!プリキュア
ジョシュア・ラングレン,ガン×ソード
