ミネバ・ラオ・ザビ,機動戦士Ζガンダム
人造人間18号,ドラゴンボールZ
妖魔テティス,美少女戦士セーラームーン
ルペ・シノ,機動戦士Vガンダム
ノヴァ,魔法騎士レイアース
小笠原祥子,マリア様がみてる
リンド,ああっ女神さまっ
藤村大河,Fate/staynight
華陀,銀魂
藤原塔子,夏目友人帳
安森奈緒,屍鬼
練玉艶,マギ
ガリィ,銃夢(OVA)
皇北都,東京BABYLON(OVA)
十六夜,刻の大地(OVA)
愛子,GS美神
キララ姫,青いブリンク
袴田さん,あたしンちシリーズ ※一番後ろの列の左から5番目の女性。
