ウルスラ・アブラモフ,モーレツ宇宙海賊
風流人・松尾芭蕉,戦国コレクション
フジイ,直球表題ロボットアニメ
金森羽片,えびてん公立海老栖川高校天悶部
大宮忍,きんいろモザイク
鈴木結愛,てさぐれ!部活もの
鈴木梨香,はたらく魔王さま!
レイヴェル・フェニックス,ハイスクールD×D
葉山光,三者三葉
たま,魔法少女育成計画
赤羽椿,アニメガタリズ
西明日香,洲崎西 THE ANIMATION
ちびドラゴン(上),えんどろ〜!
"",""
"",""
