キャスター,Fate/Zero
スタースクリーム,超ロボット生命体 トランスフォーマープライム
アルフォースブイドラモン,デジモンセイバーズ
樺地崇弘,テニスの王子様
木更津淳,テニスの王子様
山伏権太夫,アイシールド21
スミロドナッド,メダロット
人造人間サイコショッカー,遊戯王GX
ナイスガイ＆タフガイ,ペルソナ4
五十六,ハイスクール・フリート
儀左右衛門,大図書館の羊飼い
ヒース・オスロ,グリザイアの迷宮
鋼線のベック,ジョジョの奇妙な冒険戦闘潮流
小林玉美,ジョジョの奇妙な冒険ダイヤモンドは砕けない
志賀慎吾,学園ハンサム
ダイン,ソードアート・オンライン
E4,超特急ヒカリアン
奥田三吉,ズッコケ三人組
