沙耶,沙耶の唄
琥珀さん,月姫
ミント・ジュレップ,サモンナイト4
アンナ,月光のカルネヴァーレ
唯井ふたみ,いつか、届く、あの空に。
寿美幸,ときめきメモリアル2
鹿島夕美,加奈～いもうと～
イリーナ・ピアティフ,マブラヴ
ローザ,アヴァロンの鍵
烏橘沙世子,処女はお姉さまに恋してる
メグミ・レイナード,機動戦艦ナデシコ
チェロ(画像中央),VS騎士ラムネ&40炎
浅羽夕子,イリヤの空、UFOの夏
遠山翠,夜明け前より瑠璃色な(PSP版)
シェリー・メイクラフト,祝福のカンパネラ
