立花政夫,キャプテン翼
山岡しげる（左側）,ミスター味っ子
キリマン,NG騎士ラムネ&40
みぎわさん,ちびまる子ちゃん　※メイン画像右端の人物。
よしこさん,ちびまる子ちゃん
野原みさえ,クレヨンしんちゃん
ヂェーン,ジャングルの王者ターちゃん
ダイねえちゃん,ぼのぼの（TVアニメ版）
スワン・ホワイト,勇者王ガオガイガー
大河原マサエ（右側）,カスミン
リズリー・ロー（右側）,FAIRYTAIL
"",""
