蒼星石,ローゼンメイデン
三枝祀,かみちゅ!
マミーナ,シムーン
銭形巡,瀬戸の花嫁
マコちゃん,みなみけ
死神三番,狂乱家族日記
池田華菜,咲-Saki-
フェルナンディア・マルヴェッツィ,ストライクウィッチーズ2
東,境界線上のホライゾン
リタ・モルディオ,テイルズオブヴェスペリア
フレリア,アルトネリコ2 世界に響く少女たちの創造詩
八坂こう,らき☆すた(ゲーム)
三条朝日,マリッジロワイヤル
ローリ,トランスフォーマーギャラクシーフォース
モルフェ,グランブルーファンタジー
神凪煉,風の聖痕
"",""
"",""
