バブルス,パワーパフガールズ
ヘンリエッタ,ガンスリンガーガール
結城奈緒,舞-HiME
一条かれん,スクールランブル
ジュリエット・ナオ・チャン,舞-乙HiME
獅子堂ナミ,宇宙をかける少女
千葉さおり,放浪息子
迎律子,坂道のアポロン
マオ・ノーム,マクロスゼロ
花添愛華,遊戯王ZEXAL
鷹取小夜,うしおととら（TVアニメ版）
ブラッド・T・リズ,ブラッドラッド
沢渡佐由理,雲のむこう、約束の場所
藤野珠緒,迷い猫オーバーラン
アロエ,ファンタジスタドール
