槇村香,シティーハンター/エンジェル・ハート
レニ・ミルヒシュトラーセ,サクラ大戦
虎王/翔龍子,魔神英雄伝ワタル
轟嵐子,六三四の剣(青春編)
コジロー,からくり剣豪伝ムサシロード※左の人物
麻宮サキ,スケバン刑事(OVA)
写楽保介,三つ目がとおる
しらたまさん,それいけ!アンパンマン
フィブリゾ,スレイヤーズNEXT
ポコ太,姫ちゃんのリボン
友情マン,とっても!ラッキーマン
ふかづめ竜子(桶川竜子),クレヨンしんちゃん
来生哲兵,キャプテン翼(1983年版)
本郷勝,がんばれ!キッカーズ
トフト,楽しいムーミン一家
エル・マタドーラ(初代),ドラえもんズ
天野ケンタ,太陽の勇者ファイバード
戦桃丸,ONEPIECE
阿修羅,聖伝(OVA)
シスタージル,キューティーハニー(OVA)
レズン・シュナイダー,機動戦士ガンダム逆襲のシャア
ヒロキ,サルゲッチュ
ジナーナ,DIGITAL DEVIL SAGA アバタール・チューナー
戦国卍丸,天外魔境
