千葉和伸,名探偵コナン
アーノルド・ノイマン,機動戦士ガンダムSEED
バレル大佐,ロックマンエグゼ
伊賀崎孫兵（2代目）,忍たま乱太郎
ドクササコの凄腕忍者,忍たま乱太郎
田府甲斐幻鬼,忍たま乱太郎
朽木響河,BLEACH
グラディウス,ONEPIECE
ハモンド,ONEPIECE
カレハーン,ふたりはプリキュアSplash☆Star
一本釣帝/一本釣神帝、男一本ドッコ,祝（ハピ☆ラキ）ビックリマン
織田信長（※画像左）,イナズマイレブンGOクロノ・ストーン
バイズ,マジンボーン
池田夜右衛門,銀魂
銀漢,.hack//sign
ワイバースト,冒険遊記プラスターワールド
シュタイン・ヘイガー,無限のリヴァイアス
ダンク,サイボーグクロちゃん※画像右
