珠野ひなぎく/エンジェルデイジー,愛天使伝説ウェディングピーチ
スフレ,十二戦支爆烈エトレンジャー
惣流・アスカ・ラングレー,新世紀エヴァンゲリオン
式波・アスカ・ラングレー,ヱヴァンゲリヲン新劇場版
フルーツ・パフェ,VS騎士ラムネ&40炎
キャスカ,ベルセルク
笹原夏姫,はいぱーぽりす
エイシャ・クランクラン,星方武侠アウトロースター
島原海潮,南海奇皇
遠山和葉,名探偵コナン
白鳳院綾乃エリザベス,それゆけ!宇宙戦艦ヤマモト・ヨーコ
ニア,NieA_7
アカネ,ポケットモンスター
レイレイ,ヴァンパイアシリーズ(OVA)
春麗,ストリートファイター
ソン・ミナ,ソウルエッジ
ティリス,バーニングレンジャー
ラクシーヌ,キングダムハーツ
春日まなみ,きまぐれオレンジ☆ロード（ラジオドラマ版）
レジーナ・アルジーン,勇者警察ジェイデッカー
井上律子,エルフを狩るモノたち
鈴木凛（小鉄）,小鉄の大冒険
