ジェイク,アドベンチャー・タイム
ルビウス・ハグリッド,ハリー・ポッターシリーズ
ミゲロ,ファイナルファンタジー12
チェルミー警部,レイトン教授シリーズ
フロゾン,Mr.インクレディブル
ソルベ,ドラゴンボールZ 復活の「F」
