冥加枝織,金色のコルダ Blue♪Sky
アーミラ,神撃のバハムートGENESIS
かがり,うしおととら(TVアニメ版)
東方院美咲（画像左）,ながされて藍蘭島
美沙,（画像右下）＠ルパン三世 血の刻印 〜永遠のMermaid〜
アルレット・アルマージュ,機動戦士ガンダムTwilightAXIS
ジョーイさん,ポケットモンスターサン＆ムーン
ラランテス,ポケットモンスターサン＆ムーン
カプ・テテフ,ポケットモンスターサン＆ムーン
スイレンのオシャマリ,ポケットモンスターサン&ムーン
魔女,パラノーマン　ブライス・ホローの謎
速杉サクラ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
