マリィベル・ラダン・ガルディオス,テイルズオブジアビス(アニメ版)
双魚理,BLEACH
花天狂骨(脇差),BLEACH
フェアリーナ,ジュエルペットてぃんくる☆
春野はるか/キュアフローラ,Go!プリンセスプリキュア
校条祭,ギルティクラウン
佐藤和江(左),Another
妃宮千早,乙女はお姉さまに恋してる 2人のエルダー(OVA版)
リュクス・サコミズ,リーンの翼
アニ・レオンハート,進撃の巨人
雷蝶花フェイリン,探検ドリランド-1000年の真宝-
エリカ,GANGSTA.
美都玲奈,ダンボール戦機ウォーズ
荒木雅子,黒子のバスケ
園山赤音,クビキリサイクル(OVA)
川尻しのぶ,ジョジョの奇妙な冒険　ダイヤモンドは砕けない
十条美十,終わりのセラフ
百夜優一郎（幼少期）,終わりのセラフ
与謝野晶子,文豪ストレイドッグス
鳥山三兄弟,デュエルマスターズビクトリーV
不見咲カオル(左),アルドノア・ゼロ
ルクレチア,バトルスピリッツブレイヴ
早川愛香,謎の彼女X
シャルトリュー・ウェスティア,寄宿学校のジュリエット
