サイタマ,ワンパンマン
多田万里,ゴールデンタイム
金田一勇太郎,ハイキュー!!
湊川貞松,ミカグラ学園組曲
カゼハヤ・カミト,精霊使いの剣舞
ハム先輩,プリパラ
No.2,デュエル・マスターズ
大空勇仁,デジモンユニバースアプリモンスターズ
アキレウス,Fate/Apocrypha
ザガノス,将国のアルタイル
ショーター・ウォン,BANANA FISH
須和弘人,orange
筧至剛,アルドノア・ゼロ
グスタフ,七つの大罪
ビトー,機動戦士ガンダム鉄血のオルフェンズ
ザック・ロウ,機動戦士ガンダム鉄血のオルフェンズ
赤塚正義,タブー・タトゥー
哪吒,覇穹封神演義
トロンコ,91Days
大友久,TRICKSTER～江戸川乱歩「少年探偵団」より～
藤堂平助,ちるらんにぶんの壱
戸塚光太郎,ナナマルサンバツ
ジョシュア・ブーン,ベイブレードバースト神
ベニマル,転生したらスライムだった件
肉倉精児,僕のヒーローアカデミア
白銀御行,かぐや様は告らせたい
