竜崎麗香,エースをねらえ!
メーテル,銀河鉄道999
早乙女のどか,らんま1/2
火の鳥,火の鳥(映画、OVA)
暗闇の雲,ディシディア ファイナルファンタジー
キメラアント女王,HUNTER×HUNTER(2011年版)
カマリア・レイ,機動戦士ガンダム(特別版)
ウルトラの母,ウルトラマンメビウス
マリ・パンダボアヌ,ペリーヌ物語
真宮寺若菜,サクラ大戦
エトランジュ,パタリロ!
金子シャロン,宇宙兄弟
シルキー・マウ,聖戦士ダンバイン
