うちはサスケ,NARUTO
石田雨竜,BLEACH
うさ原,だめっこどうぶつ
衛宮士郎,Fate/stay night
高瀬準太,おおきく振りかぶって
独眼竜まさむにゃ,にゃんぱいあ
トォニィ,地球へ…
ウィリアム・T・スピアーズ,黒執事
イギリス,Axis powers ヘタリア
川浜拓馬,もやしもん
森川カツミ,カードファイト!!ヴァンガード
御茶ノ水博士,デュエル・マスターズVSR
リヴァル・カルデモンド,コードギアス反逆のルルーシュ
犬和尚,かみちゅ!
前田慶次,殿といっしょ
小判,鬼灯の冷徹
オルーバ,魔法つかいプリキュア!
佐藤ウィリアム,メガネブ!
シャムキッド,ブラッドラッド
ヴィンスモーク・イチジ,ONEPIECE
ピュンマ,009 RE:CYBORG
アレイスター・クロウリー三世,D.Gray-man HALLOW
