シュゼット・ブレーズ,ラングリッサー リインカーネーション
槍の妖精セロシア,白猫プロジェクト※
マキナ・中島,マクロスΔ
眠目さとり,武装少女マキャヴェリズム
九州そら,ずんだホライずん
有原翼,八月のシンデレラナイン
杉並ルシエ,奴隷区
