鳥居夏実,ぬらりひょんの孫
島田葉月,バカとテストと召喚獣
陽昇ハジメ,バトルスピリッツ覇王
綾野彩,Another
アラベル・ゾイ,機動戦士ガンダムAGE(第1部)
栢木優雨,乙女はお姉さまに恋してる 2人のエルダー(OVA)
受付,ドリームクラブ
イザベル・マグノリア,進撃の巨人外伝悔いなき選択
ラゴン,絶対防衛レヴィアタン
