カモさんチーム,ガールズ&パンツァー
ピナ,ソード・アート・オンライン
Bloody Bunny,ブラッディー・バニー
吉野まゆみ,銀の匙
シュレディンガー,幻影ヲ駆ケル太陽
倉石たんぽぽ,ウィッチクラフトワークス
メガドライブ,セガ・ハード・ガールズ
久乃木愛,SHIROBAKO
ストップ,Go!プリンセスプリキュア
野田硝子,普通の女子校生が【ろこどる】やってみた。
沙々宮紗夜,学戦都市アスタリスク
ミカ・ジャウカーン,戦姫絶唱シンフォギア
ティルファー・リルミット,最弱無敗の神装機竜
ナナシ,Lostorage incited WIXOSS
ヘボット,ヘボット!
二重丸くるり,灼熱の卓球娘
イルトゥトゥミシュ,タブー・タトゥー
日岡蒼,ポッピンQ
鴎端のり子,クズの本懐
アルゴ,ソード・アート・オンライン
ケベスベス,魔法陣グルグル(2017)
ビスクラヴレット,弱酸性ミリオンアーサー
ナナチ,メイドインアビス
水沢まつり,citrus
サンダルフォン,七つの美徳
黒井銀子,プラネット・ウィズ
心理定規,とある魔術の禁書目録
