神月イズモ,NARUTO
クロノス,BLOODY ROAR extreme
東儀征一郎,FORTUNE ARTERIAL 赤い約束※男性の方
永倉新八,薄桜鬼シリーズ
ヒュプノス,聖闘士星矢 THELOSTCANVAS 冥王神話
フォンブレイバー01,ケータイ捜査官7
ガーナ,トラブルチョコレート
真庭喰鮫,刀語
ジョニー・ギル,D.Gray-man
鋼鉄マン,とっても!ラッキーマン
西郷テル,陰陽大戦記※人間の方
ムキテツ,ヒミツのここたま
