多幡奈緒,ふたりはプリキュアMaxHeart
鰐島亜紀人,エア・ギア
オーガスト,コヨーテラグタイムショー
紗倉清美,侵略!イカ娘
すぎる(右側),はなかっぱ
雨宮芹葉,そふてにっ
青砥ゴンザレス琢馬,銀河へキックオフ!!
うずまきボルト(左側),THE LAST-NARUTO THE MOVIE-
うちはサラダ,BORUTO-NARUTO THE MOVIE-
こもも,ねぎぼうずのあさたろう
ポプリ,ハートキャッチプリキュア!
"",""
