岡田似蔵,銀魂
荀攸,蒼天航路
サソリ（ヒルコ）,NARUTO
ガエル・チャン,機動戦士ガンダムUC
トド・ミルコネン,機動戦士ガンダム鉄血のオルフェンズ
ハンニバル・バルカ,ドリフターズ
千年伯爵,D.Gray-man
ザベル・フランケン,DOUBLEDECKER! ダグ&キリル
易者,東方M-1ぐらんぷり　※あ～るの～とによる二次創作
