佐藤美和子,名探偵コナン
ルーチェ,家庭教師ヒットマンREBORN!
敦賀迷彩,刀語
ジャッキー・トリスタン,BLEACH
ジル・バレンタイン,バイオハザードシリーズ他
明堂院つばき,ハートキャッチプリキュア
菱川亮子,ドキドキ!プリキュア
