ケリー・タスカー,ゾイド新世紀/ゼロ
光熱斗,ロックマンエグゼ
遥鈴,出撃!マシンロボレスキュー
虎水ギンタ(2代目),メルヘヴン
御子神嵐子,スカイガールズ
マキ/阿野万記,ぼくらの
フィリップ=ウェスト,PandoraHearts
ブラッシュ,CARDLIVER翔
ルビィ,アンリミテッド:サガ
アルフレッド・イズルハ(2代目),機動戦士ガンダム クライマックスU.C.～
ヒカル(2代目),サルゲッチュ
マンドラ坊や,魔法戦隊マジレンジャー
トーマス,きかんしゃトーマス
きみ,仮面ライダーキバ　アドベンチャーDVD　きみもキバになれる
"",""
