菊間夏夜,"WakeUP,Girls!"
ハナヤマタ,笹目ヤヤ
ブリジール,グランブルーファンタジー
如月カレン,ハンドレッド
ハッカドール2号,ハッカドール
佐々木さつき（左）,灼熱の卓球娘
