コウサカ・ユウマ,ガンダムビルドファイターズトライ
アイン・ダルトン,機動戦士ガンダム鉄血のオルフェンズ
ソニック(音速猿),血界戦線
奥村光舟,ダイヤのA
霧羽ナギサ,Classroom☆Crisis
涼野ユウ,KING OF PRISM by PrettyRhythm
申渡栄吾,スタミュ-高校星歌劇-
鳳瑛二,うたの☆プリンスさまっ♪マジLOVEレボリューションズ
ハヤテ・インメルマン,マクロスΔ
大神和臣,ReLIFE
千種霞,クオリディア・コード
九頭竜八一,りゅうおうのおしごと!
新開悠人,弱虫ペダル
不知吟士,東京喰種:re
アッシュ・リンクス,BANANAFISH
カイ・ウルキル,赤髪の白雪姫
北原伊織,ぐらんぶる※1
江渡貝弥作,ゴールデンカムイ
ソルト,ゾイドワイルド
