ジョセフィン・マーチ（ジョオ）/ジョセフィン・ベア,愛の若草物語/ナンとジョー先生
アン・シャーリー,赤毛のアン
アラミス,アニメ三銃士
岬太郎,キャプテン翼(1983年版)
銀,銀牙 -流れ星 銀-
ラビニア・ハーバート,小公女セーラ
てんどんまん（劇場版代役）,それいけ!アンパンマン
ニャンジャ（劇場版代役）,それいけ!アンパンマン
キャナリー・ドネット,太陽の牙ダグラム
金田正太郎,太陽の使者鉄人28号＊1
バンダ・ロッタ,伝説巨神イデオン
マイ,ドラゴンボール
影千代,忍者ハットリくん
魯神フッド,ビックリマン
牛頭,鬼灯の冷徹＊2
青山翔吾,遊☆戯☆王(東映版映画)
紅つばさ,らんま1/2
