上柿恵,咲-Saki-
河野はるみ,ToHeart2
和泉亜子,魔法先生ネギま!
蔵野みずほ,ガンパレード・オーケストラ
カトレア・イヴェット・ラ・ボーム・ル・ブラン・ド・ラ・フォンティーヌ,ゼロの使い魔
北河麻衣,IZUMO-猛き剣の閃記-
フレア,幻想水滸伝4
瀬川美里,SHIROBAKO
レミリア・スカーレット,忙しい人のための紅魔郷
