鷹鳥小鳥,極黒のブリュンヒルデ
呉屋せわし子,健全ロボダイミダラー
江戸山紫,東京ESP
フィノ・ブラッドストーン,勇者になれなかった俺はしぶしぶ就職を決意しました。
式島切子,電波教師
佐々木梓,響け!ユーフォニアム
ルル,無彩限のファントム・ワールド
ヒロ,ひめゴト
ベディヴィア,ディバインゲート
壱与,ビッグオーダー
二階堂ゆず,アイカツスターズ!
深町美晴,ポッピンQ
アスタロト,sin　七つの大罪
佐倉由女,ばくおん!!
双葉妙,政宗くんのリベンジ
クトリ・ノタ・セニオリス,終末なにしてますか?忙しいですか?救ってもらっていいですか?
ルクリア・モールバラ,ヴァイオレット・エヴァーガーデン
ピピ美,ポプテピピック ※第8話Aパート
