マタタビ丸,仰天人間バトシーラー
早田誠,キャプテン翼(2001年版)
楊修,彩雲国物語
猛,咎狗の血
御堂一哉,フルハウスキス
森里和馬,俺たちに翼はない
緑葉樹,SHUFFLE! MEMORIES
石垣哲郎,あの夏で待ってる
