石田ヤマト,デジモンアドベンチャー
クワガーモン,デジモンアドベンチャー02
ホムラ,ポケットモンスター
ゼロ,ロックマンゼロ
ジルウェ,ロックマンゼクス
スパークマン,ロックマンエグゼ
相田聡一,バクマン。
源健司,ガンパレード・オーケストラ
山口ノボル,魁!!クロマティ高校
ジェームズ,LINETOWN
イエティ・ブリザード,流星のロックマン
