半田シェイシェイ※1,あにゃまる探偵キルミンずぅ
兜甲児,真マジンガー衝撃!Z編
レオン,ジュエルペットてぃんくる☆
ダイ・タカシ/バンカー,STARDRIVER
プロデューサー,THE IDOL M@STER
光定ケンジ,カードファイト!!ヴァンガード
ドラゴン紫龍,聖闘士星矢LegendofSanctuary
イワン・ペレペルキナ,テラフォーマーズ
南部康雄,宇宙戦艦ヤマト2199
アッキー,ポケットモンスター ベストウイッシュ
相馬鏡,メガネブ!
三神嵐,トリアージX
