片桐優姫,あかね色に染まる坂
アスタロッテ・ユグヴァール,アスタロッテのおもちゃ!
サンバイザー,ウマ娘 プリティーダービー
木ノ下りんご,おとぎ銃士赤ずきん
久地院美華,かなめも
ティオ,金色のガッシュベル!!
シャナ,灼眼のシャナ
白雪,白アリッッ
筑紫澪,絶対可憐チルドレン
ルイズ,ゼロの使い魔
アニェーゼ=サンクティス,とある魔術の禁書目録Ⅱ
逢坂大河,とらドラ!
ねね,信長の忍び
三千院ナギ,ハヤテのごとく!
神崎・H・アリア,緋弾のアリア
アリサ・バニングス,魔法少女リリカルなのはシリーズ
松平瞳子,マリア様がみてる
モニカ・アデナウアー,焼きたて!!ジャぱん
