佐倉魔美,エスパー魔美
O次郎,オバケのQ太郎（テレビ朝日版）
熊耳武緒,機動警察パトレイバー
朝丘夏美,Theかぼちゃワイン
ドラミ,ドラえもん（テレビ朝日版）＊1
星野スミレ,ドラえもん（テレビ朝日版）＊2
花村紅緒,はいからさんが通る
ニーナ,ポールのミラクル大作戦
ソフィア・ニーナ・ローズ,未来警察ウラシマン
シャルロット,若草のシャルロット
