葛葉アズナ,Dance_with_Devils
印南ミコ/ガッツ星人※1,怪獣娘〜ウルトラ怪獣擬人化計画〜
ミナエル(画像左),魔法少女育成計画
飯島れん(画像中央),NEWGAME!
黎沈華※2,学戦都市アスタリスク
ケモミミン,アクションヒロインチアフルーツ
よしみ（左）,ラブライブ!サンシャイン!!
ハクメイ,ハクメイとミコチ
益子薫※3,刀使ノ巫女
