糸井楓,するめいか
波浪浮亭木胡桃,じょしらく
天空橋朋花,アイドルマスターミリオンライブ!
武者小路祝,断裁分離のクライムエッジ
うつつ,ガッチャマンクラウズ
吉国,青の祓魔師
宮内れんげ,のんのんびより
ティオニー,圧倒的遊戯ムゲンソウルズZ
船原ゆき,PSYCHO-PASS
ヒヨリ,メカクシティアクターズ
出羽ササメ,M3～ソノ黒キ鋼～
シャリステラ,シャリーのアトリエ
ミリアム・オライオン,閃の軌跡
花の都のくのいちフラン,白猫プロジェクト
大地のの,アイカツ!-アイドルカツドウ!-
ミニゴブ,神撃のバハムート/グラブル/Shadowverse
ダエッタ,グランブルーファンタジー
白石,田中くんはいつもけだるげ
彩風涼,ニセコイ
伊藤萌,ららマジ
エレイン,七つの大罪
フェイ・リー,スクールガールストライカーズ
女魔法使い,ゴブリンスレイヤー
鳴花ヒメ・ミコト,VOCALOID
