真島吾朗,龍が如くシリーズ
ヴォッファ,爆竜戦隊アバレンジャー
スレイド,ティーンタイタンズ
ドナテロ,ミュータントタートルズ（1987年版、イラスト左）
シュレッダー,ミュータントタートルズ（2003年版）
アルゴ・ガルスキー,機動武闘伝Gガンダム
八郎ほか,銀魂
佐上保,爆走兄弟レッツ&ゴー!!
ダークス,ドラゴンドライブ
横車押ヱ門,忍たま乱太郎
巌竜,鉄拳シリーズ
ウッス,GON
モルド・スペクター,ウルトラマンX
レイバトス,ウルトラファイトオーブ
ゼロ(ロックマンエグゼ),ロックマンエグゼトランスミッション
