西住みほ,ガールズ&パンツァー
四葉ありす/キュアロゼッタ,ドキドキ!プリキュア
若宮ひな子,ほんとにあった!霊媒先生
イオナ,蒼き鋼のアルペジオ -アルス・ノヴァ-
ペトラルカ・アン・エルダント三世,アウトブレイク・カンパニー
前川さん,電波女と青春男
池野楓,桜Trick
潮田渚,暗殺教室
メイ(クロスアンジュ),クロスアンジュ天使と竜の輪舞
グレース・タイラー,遊戯王ARC-V
レイ,遊戯王ARC-V(画像中央)
樫木亜衣,デジモンユニバースアプリモンスターズ
メイたん,えとたま
皐月夜見,刀使ノ巫女
竜王更沙,音楽少女
熊代晴海,プラネット・ウィズ※
