遊城十代,遊☆戯☆王デュエルモンスターズGX
美鞍葛馬,エア・ギア
ディーノ（2代目）,家庭教師ヒットマンREBORN!
一条和希,フレッシュプリキュア
六本木史,ミラクル☆トレイン
ロナルド・ノックス,黒執事
ジャスパー,ジュエルペットシリーズ
滝丸,トリコ
ヒビキ,プリティーリズム・オーロラドリーム
南波日々人,宇宙兄弟
降矢虎太,銀河へキックオフ!!
フィンクス,HUNTER×HUNTER(2011年版)
聖,デジモンセイバーズ
竜神翔悟,マジンボーン
神原秋人,境界の彼方
小湊亜耶,アオハライド
月島仁兵衛,ムシブギョー
朝日奈風斗,BROTHERSCONFLICT
スオウ,熱風海陸ブシロード
黒木闇児,サムライフラメンコ
チェイス・スーノ,モンスーノ
ギーヴ,アルスラーン戦記(日5版)
神谷カルロス俊樹,ダイヤのA
アレックス・K・スチュワート,テラフォーマーズ
虎石和泉,スタミュ
皐月葵,ツキウタ。
黄天化,覇穹封神演義
キュロス,将国のアルタイル
