フレア・ブラン,エウレカセブンAO
田中心春,てさぐれ!部活もの
園川モモカ,さばげぶっ!
ランス,ドキドキ!プリキュア
西島りんご,まんがーる!
鵜野うずめ,ファンタジスタドール
安達垣愛姫,政宗くんのリベンジ
山吹沙綾,BanG Dream!
クロメ,アカメが斬る!
友寄もり子,健全ロボダイミダラー※イラスト画像左
フェリア,コメット・ルシファー
ヤヤカ,フリップフラッパーズ
シマザキセツナ,Re:CREATORS※イラスト画像右
アデルトルート・オルター,ナイツ&マジック
五六八葵,ひなろじ
