真田弦一郎,テニスの王子様
薩摩廉太郎,デジモンセイバーズ
ゾマリ・ルルー,BLEACH
氷室仁,遊戯王5D's
ネイル,ドラゴンボール改
ウルージ,ONEPIECE
夏木陽太郎,GIANTKILLING
サバーク博士/月影博士,ハートキャッチプリキュア
アントニオ・ロペス/ロックバイソン,TIGER&BUNNY
ギャラクシーコンボイ,トランスフォーマーギャラクシーフォース
ブラックコンボイ,トランスフォーマーカーロボット
モラウ,HUNTER×HUNTER（2011年版）
隈無清蔵,銀魂
森乃イビキ,NARUTO
ユートニウム博士,出ましたっ!パワパフガールズZ
スライ,ドキドキ♡伝説 魔法陣グルグル
ストラー・グアバラン,機動戦士ガンダムAGE
酒井・忠次,境界線上のホライゾン
ライオーガ,ビーストサーガ
アルゴ・グレイシー,メタルファイトベイブレード
黒王,ドリフターズ
夏目次郎,学園ハンサム
