胡ノ宮環,D.C.
穂積さやか,夜明け前より瑠璃色な
小岩井フローラ,ななついろドロップス
関羽/愛紗,恋姫†無双
仙道六実,聖痕のクェイサー
メノ・ルー,ARMORED CORE 4
エマ・クロフォード,R-TYPE_TACTICSⅡ
ラミ,サモンナイト4
神斬蝕,ソウルキャリバー
チェリンカ,FFCC
イコリーナ,ふしぎの海のナディア(2005年リリースのゲーム版)
ライカ・クルセイド,斬魔大聖デモンベイン
