瀬川おんぷ/ロロ,おジャ魔女どれみ
マリエル,ワイルドアームズ
ロップモン,デジモンフロンティア
ローズマリー,明日のナージャ
レイラ,金色のガッシュベル!!
プンプン王女,ポポロクロイス物語
イヨ,アニマル横町
パム,甲虫王者ムシキング
M.O.M.O.,Xenosaga
板里網子/ベネチアン,人造昆虫カブトボーグVxV
マーモン,家庭教師ヒットマンREBORN!
ひらりさん,はぴはぴクローバー
ルナ/ダイアナ,ジュエルペット
ももかっぱちゃん,はなかっぱ
へんしん魔法少女プルリン,N・H・Kにようこそ!
艶靡ちゃん,Dororonえん魔くんメ～ラめら
フューリア,アガレスト戦記
チトセ・チャルマ,テイルズオブイノセンス
天羽ジュネ,プリティーリズム・レインボーライブ
ゴマータ（左側）,夢のクレヨン王国
幸田実果子,ご近所物語
