河合和己,おおきく振りかぶって
シュナン,獣の奏者エリン
平経正,遙かなる時空の中で3
チャック・プレストン,ワイルドアームズ
トニー・スターク/アイアンマン,ディスク・ウォーズ:アベンジャーズ
桐丘凛太朗,VitaminZ
デヴィッド・ノーラン / チャーミング王子,ワンス・アポン・ア・タイム
ジョン・スノウ,ゲーム・オブ・スローンズ
バージル・トレーシー,サンダーバード ARE GO
ジレン,ドラゴンボール超
フェリックス,シュガー・ラッシュ
シシリアン,ONE PIECE
デュマ,ファンタジックチルドレン
ハウンドドッグ,僕のヒーローアカデミア
