赤木晴子,スラムダンク
メキラ大佐,忍空
ブラッドベリー,セイバーマリオネットJ
小早川美幸,逮捕しちゃうぞ
葉月聖羅,キューティーハニーF
霧沢風子,烈火の炎
谷崎ゆかり,あずまんが大王
BT,.hack//sign
日向秋,ケロロ軍曹
シバ,JINKI:EXTEND
志波空鶴,BLEACH
如月千種,アイドルマスター
前方のヴェント,とある魔術の禁書目録
フルーラ,劇場版ポケットモンスター 幻のポケモン ルギア爆誕
赤坂美月,ダブルキャスト
ハロルド・ベルセリオス,テイルズオブデスティニー2
吉沢弓美,ゆみみみっくす
エレン・ふわふわ頭・オーレウス,音盤はたらきもの
村上百合子,音盤ねこめ～わく
アシュラマン（幼少期）,キン肉マンキン肉星王位争奪編
越谷雪子,のんのんびより
赤木量子,名探偵コナン
アーデンパープル,小さな巨人ミクロマン
