能登久光,とらドラ!
室井静信,屍鬼
日野秋晴,れでぃ×ばと!
二階堂連,ベン・トー
ルスキニア・ハーフェズ,ラストエグザイル-銀翼のファム-
折原一力,バクマン。
バランス・T・モイド(後方),輪廻のラグランジェ
ジョナサン・ジョースター,ジョジョの奇妙な冒険(TVアニメ版/オールスターバトル)
斑目晴信,げんしけん二代目
スモークスクリーン,トランスフォーマープライム
朝日奈雅臣,BROTHERSCONFLICT
千早群像,蒼き鋼のアルペジオ
ケンザン,参乗合体トランスフォーマーGo!
ラウル・セラ,カードファイト!!ヴァンガード レギオンメイト編
サカイ・ミナト,ガンダムビルドファイターズトライ
深影恭一郎,ウィッチクラフトワークス
安堂麗治(アンドレ),監獄学園
緑永将,青春×機関銃
比水流,K RETURN OF KINGS
戌峰誠士郎,スタミュ
ヴィンセント・ファントムハイヴ,黒執事
石蕗秋人,ブブキ・ブランキ
唯我一心,龍ヶ嬢七々々の埋蔵金
雨宿良夫,くまみこ
スギ花粉,はたらく細胞
岩倉雪彦,風が強く吹いている
