郭嘉/稟,真・恋姫†無双
ソルヴァ,NEEDLESS
小早川秀秋,戦国☆パラダイス
片倉小十郎,戦国コレクション
ターニャ・スウェッジウッド,神さまのいない日曜日
川上紀衣子,くっつきぼし
桐生夕月,kiss×sis
如月優,THEiDOLM@STER
葵ソラ,あきそら※
真喩,ノラガミ
雉神,モモキュンソード
ピピ美,ポプテピピック※第9話Aパート
