ベム※中央,妖怪人間ベム
シャザーン,大魔王シャザーン
次元大介,ルパン三世
クリスタルボーイ,スペースコブラ
ワタリ,DEATHNOTE
エギーユ・デラーズ,機動戦士ガンダム0083
モハメド・アヴドゥル,ジョジョの奇妙な冒険※OVA
暗黒大将軍,マジンガーZ対暗黒大将軍
オオカミ,ドルーピー※TBS放送版
スプリンター,ミュータントタートルズ※VHS版
甲賀弾正,バジリスク〜甲賀忍法帖〜
タロス,クラッシャージョウ
