ウィスピーウッズほか,星のカービィ
ジェット・スティングレン,ロックマンX4
火引弾,ストリートファイターシリーズ※1
マニー,おたすけマニー（吹き替え）
アレン・スナイダーほか,ストリートファイターEXシリーズ
ヌール,ウォーザード、CAPCOM FIGHTING Jam
パラノ,ガレリアンズ：アッシュ
